省市	工商	国土	外汇	社保	公积金	劳动	中国人民银行	银保监会	中国人民银行地方支行	银保监会地方局
合肥市	http://amr.hefei.gov.cn/site/search/6794091?keywords=%E4%B9%9D%E6%B1%9F%E9%93%B6%E8%A1%8C%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8	http://zrzyhghj.hefei.gov.cn/site/search/6787311?orderType=0&keywords={}	安徽省分局	http://rsj.hefei.gov.cn/site/search/6802651?input=%E6%90%9C%E7%B4%A2&keywords={}	http://gjjzx.hefei.gov.cn/site/search/6807191?%E6%90%9C%E7%B4%A2=&keywords={}	不需要	/	/		
吉安市	http://scjd.jian.gov.cn/news-list-xgzbcwfi.html	http://bnr.jian.gov.cn/soall-keyword-{}.html	江西省分局	http://hrss.jian.gov.cn/soall-keyword-{}.html	http://zfgjj.jian.gov.cn/soall-keyword-{}.html	不需要	/	/		
景德镇	http://scjgj.jdz.gov.cn/jdzscjgj/search/fullsearch.html?wd=%E4%B9%9D%E6%B1%9F%E9%93%B6%E8%A1%8C%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8	http://bnr.jdz.gov.cn/jdzzrzyj/search/fullsearch.html?wd={}	江西省分局	http://hrss.jdz.gov.cn/jdzrbj/search/fullsearch.html?wd={}	http://xxgk.jdz.gov.cn/jdzfrontpage/jdznewxxgk/filePage.html?deptcode=001014	不需要	/	/		
九江市	http://amr.jiujiang.gov.cn/site/search/#/all?type=%E6%89%80%E6%9C%89&siteId=103&name=%E4%B9%9D%E6%B1%9F%E5%B8%82%E5%B8%82%E5%9C%BA%E7%9B%91%E7%9D%A3%E7%AE%A1%E7%90%86%E5%B1%80&wcmSiteId=200&searchWord=%E4%B9%9D%E6%B1%9F%E9%93%B6%E8%A1%8C%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8	http://bnr.jiujiang.gov.cn/site/search/#/all?type=%E6%89%80%E6%9C%89&siteId=49&name=%E4%B9%9D%E6%B1%9F%E5%B8%82%E8%87%AA%E7%84%B6%E8%B5%84%E6%BA%90%E5%B1%80&wcmSiteId=255&searchWord={}	江西省分局	http://rsj.jiujiang.gov.cn/site/search/#/all?type=%E6%89%80%E6%9C%89&siteId=25&name=%E4%B9%9D%E6%B1%9F%E5%B8%82%E4%BA%BA%E5%8A%9B%E8%B5%84%E6%BA%90%E5%92%8C%E7%A4%BE%E4%BC%9A%E4%BF%9D%E9%9A%9C%E5%B1%80&wcmSiteId=211&searchWord={}	http://gjj.jiujiang.gov.cn/site/search/#/all?type=%E6%89%80%E6%9C%89&siteId=95&name=%E4%B9%9D%E6%B1%9F%E5%B8%82%E4%BD%8F%E6%88%BF%E5%85%AC%E7%A7%AF%E9%87%91%E7%AE%A1%E7%90%86%E4%B8%AD%E5%BF%83&wcmSiteId=197&searchWord={}	不需要	/	/		
南昌市	http://sgj.nc.gov.cn/ncsgj/spypxzcf/nav_list.shtml	http://bnr.nc.gov.cn/ncszrzyj/search/search.shtml?sstype=top&keyword={}	江西省分局	http://hrss.nc.gov.cn/ncsrsj/search/search.shtml?bm_code=A00070&keyword={}	http://so.kaipuyun.cn/s?qt={}&siteCode=3601000001&database=all&noTools=true	不需要	/	/		
萍乡市	http://www.pingxiang.gov.cn/jsearchfront/search.do?websiteid=360300000001000&tpl=10&q=%E4%B9%9D%E6%B1%9F%E9%93%B6%E8%A1%8C%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&btn=	http://www.pingxiang.gov.cn/jsearchfront/search.do?websiteid=360300000005000&tpl=14&q={}&btn=	江西省分局	http://www.pingxiang.gov.cn/jsearchfront/search.do?q={}&websiteid=360300000038000&tpl=46&btn=	http://www.pingxiang.gov.cn/jsearchfront/search.do?q={}&btn.x=0&btn.y=0&websiteid=360300000002000&tpl=11	不需要	/	/		
上饶市	http://www.zgsr.gov.cn/fzlm/js/index.shtml?query={}	http://bnr.zgsr.gov.cn/Column.shtml?p5=20007619&searchTitle={}&searchSite=37&searchSource=all&searchStartDate=1900-01-01&searchEndDate=2900-01-01	江西省分局	无搜索栏	http://gjj.zgsr.gov.cn/search.jspx?q={}	不需要	/	/		
新余市	http://zs.kaipuyun.cn/s?token=&siteCode=3605000002&searchWord={}	http://bnr.xinyu.gov.cn/search/search.shtml?webcode=xyszrzyj&keywords={}	江西省分局	http://www.xinyu.gov.cn/index.shtml?dn=rsj&key={}	无搜索栏	不需要	/	/		
宜春市	http://sjj.yichun.gov.cn/index.php?c=so&module=MOD_DIR&keyword={}	http://bnr.yichun.gov.cn/index.php?c=so&module=MOD_DIR&keyword={}	江西省分局	http://hrss.yichun.gov.cn/index.php?c=so&module=MOD_DIR&keyword={}	http://gjj.yichun.gov.cn/search/searchResultGJ.jsp?t_id=6&site_id=CMSycgjj&q={}&x=0&y=0	不需要	/	/		
鹰潭市	http://scjgj.yingtan.gov.cn/jsearchfront/search.do?websiteid=360600000125000&tpl=27&q={}	http://zrzyj.yingtan.gov.cn/jsearchfront/search.do?websiteid=360600000110000&tpl=18&q={}	江西省分局	http://rsj.yingtan.gov.cn/jsearchfront/search.do?websiteid=360600000109000&tpl=21&q={}	https://www.ytgjj.com.cn/search.jspx?q={}	不需要	/	/		
吉安市	http://scjd.jian.gov.cn/news-list-xgzbcwfi.html	http://bnr.jian.gov.cn/soall-keyword-{}.html	江西省分局	http://hrss.jian.gov.cn/soall-keyword-{}.html	http://zfgjj.jian.gov.cn/soall-keyword-{}.html	不需要	/	/		
南京市	http://amr.nanjing.gov.cn/site/aic/search.html?searchWord={}&siteId=129&pageSize=10	http://ghj.nanjing.gov.cn/site/ghzyj/search.html?searchWord={}&siteId=46&pageSize=10	江苏省分局	http://rsj.nanjing.gov.cn/site/njrsj/search.html?searchWord={}&siteId=45&pageSize=10	http://glj.nanjing.gov.cn/site/glj/search.html?searchWord={}&siteId=72&pageSize=10	不需要	/	/		
日照市	http://amr.rizhao.gov.cn/jsearchfront/search.do?q={}&websiteid=371100000000018&ck=0&tpl=382&pos=title%2Ccontent&x=0&y=0	http://zrzygh.rizhao.gov.cn/jsearchfront/search.do?websiteid=371100000000052&tpl=375&pagemode=result&appid=1&webid=204&ck=0&pos=title%2Ccontent&q={}	山东省分局	http://hrss.rizhao.gov.cn/jsearchfront/search.do?q={}&websiteid=371100000000030&tpl=346&x=0&y=0	http://www.rizhaozfgjj.cn/jrobot/search.do?pagemode=result&appid=1&q={}&webid=180&style=26&ck=0&pos=title%2Ccontent	不需要	/	/		
大兴区	没找到可以打「」的地方http://www.bjdx.gov.cn/search/pcRender?pageId=3d2a80c1a5744f8ab9da1709c5255c56	大兴区政府	大兴区政府	大兴区政府	大兴区政府	大兴区政府	/	/		
